Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age,Item_Category,Price_Category
FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.138,26,FD,Very High
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.4228,16,DR,Low
FDN15,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27,26,FD,Medium
FDX07,19.2,Regular,0.07371873,Fruits and Vegetables,182.095,OUT010,1998,Medium,Tier 3,Grocery Store,732.38,27,FD,High
NCD19,8.93,Low Fat,0.064963102,Household,53.8614,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052,38,NC,Low
FDP36,10.395,Regular,0.074331188,Baking Goods,51.4008,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.6088,16,FD,Low
FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528,38,FD,Low
FDP10,19,Low Fat,0.127469857,Snack Foods,107.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.7636,40,FD,Medium
FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,2002,Medium,Tier 2,Supermarket Type1,1076.5986,23,FD,Low
FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,2007,Medium,Tier 2,Supermarket Type1,4710.535,18,FD,High
FDY07,11.8,Low Fat,0.07371873,Fruits and Vegetables,45.5402,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0266,26,FD,Low
FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.153,28,FD,Medium
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.2646,26,FD,Medium
FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.2076,28,FD,Medium
FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,OUT013,1987,High,Tier 3,Supermarket Type1,1977.426,38,FD,High
FDP49,9,Regular,0.069088961,Breakfast,56.3614,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.3192,28,FD,Low
NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.8888,16,NC,Medium
FDP49,9,Regular,0.069196376,Breakfast,54.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.3982,26,FD,Low
DRI11,8.26,Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303.668,40,DR,Medium
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.4224,21,FD,Very High
FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,1987,High,Tier 3,Supermarket Type1,3775.086,38,FD,Very High
FDW12,8.315,Regular,0.035399923,Baking Goods,144.5444,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064.0432,40,FD,Medium
NCB30,14.6,Low Fat,0.025698134,Household,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672,21,NC,High
FDC37,15.5,Low Fat,0.057556998,Baking Goods,107.6938,OUT019,1985,Small,Tier 1,Grocery Store,214.3876,40,FD,Medium
FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025,28,FD,High
NCD06,13,Low Fat,0.099887103,Household,45.906,OUT017,2007,Medium,Tier 2,Supermarket Type1,838.908,18,NC,Low
FDV10,7.645,Regular,0.066693437,Snack Foods,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28,21,FD,Low
DRJ59,11.65,low fat,0.019356132,Hard Drinks,39.1164,OUT013,1987,High,Tier 3,Supermarket Type1,308.9312,38,DR,Low
FDE51,5.925,Regular,0.161466534,Dairy,45.5086,OUT010,1998,Medium,Tier 3,Grocery Store,178.4344,27,FD,Low
FDC14,14.5,Regular,0.072221801,Canned,43.6454,OUT019,1985,Small,Tier 1,Grocery Store,125.8362,40,FD,Low
FDV38,19.25,Low Fat,0.170348551,Dairy,55.7956,OUT010,1998,Medium,Tier 3,Grocery Store,163.7868,27,FD,Low
NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.7644,16,NC,Low
FDP33,18.7,Low Fat,0.070865961,Snack Foods,256.6672,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068.0064,16,FD,Very High
FDO23,17.85,Low Fat,0.071068502,Breads,93.1436,OUT045,2002,Medium,Tier 2,Supermarket Type1,2174.5028,23,FD,Low
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.2856,28,DR,High
NCX29,10,Low Fat,0.089291137,Health and Hygiene,146.7102,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.0652,26,NC,Medium
FDV20,20.2,Regular,0.059511812,Fruits and Vegetables,128.0678,OUT027,1985,Medium,Tier 3,Supermarket Type3,2797.6916,40,FD,Medium
DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.9044,16,DR,Medium
FDX10,6.385,Regular,0.123111453,Snack Foods,36.9874,OUT027,1985,Medium,Tier 3,Supermarket Type3,388.1614,40,FD,Low
FDB34,15.25,Low Fat,0.026480954,Snack Foods,87.6198,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180.495,40,FD,Low
FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,28,FD,Very High
FDK43,9.8,Low Fat,0.02681843,Meat,126.002,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534,38,FD,Medium
FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.3768,26,FD,High
FDC02,21.35,Low Fat,0.069102831,Canned,259.9278,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.5228,16,FD,Very High
FDL50,12.15,Regular,0.042277867,Canned,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138,38,FD,Medium
FDM39,6.42,LF,0.089498926,Dairy,178.1002,OUT010,1998,Medium,Tier 3,Grocery Store,358.2004,27,FD,High
NCP05,19.6,Low Fat,0.058957514,Health and Hygiene,153.3024,OUT045,2002,Medium,Tier 2,Supermarket Type1,2428.8384,23,NC,High
FDV49,10,Low Fat,0.025879577,Canned,265.2226,OUT045,2002,Medium,Tier 2,Supermarket Type1,5815.0972,23,FD,Very High
FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.646,28,FD,Low
FDS02,10.195,Regular,0.255394896,Dairy,196.8794,OUT019,1985,Small,Tier 1,Grocery Store,780.3176,40,FD,High
NCL17,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.5864,28,NC,Medium
FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,OUT013,1987,High,Tier 3,Supermarket Type1,850.8924,38,FD,Medium
FDR13,9.895,Regular,0.028696932,Canned,117.0492,OUT013,1987,High,Tier 3,Supermarket Type1,810.9444,38,FD,Medium
FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,OUT017,2007,Medium,Tier 2,Supermarket Type1,3121.2704,18,FD,High
NCP18,12.15,Low Fat,0.028760013,Household,151.4708,OUT017,2007,Medium,Tier 2,Supermarket Type1,4815.0656,18,NC,High
FDK21,7.905,Low Fat,0.010053105,Snack Foods,249.0408,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52,16,FD,Very High
NCX54,9.195,Low Fat,0.048157338,Household,106.1622,OUT045,2002,Medium,Tier 2,Supermarket Type1,2117.244,23,NC,Medium
DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.9626,26,DR,Low
FDY21,15.1,Low Fat,0.173481304,Snack Foods,194.511,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.275,28,FD,High
FDI26,5.94,Low Fat,0.061082177,Canned,180.0344,OUT019,1985,Small,Tier 1,Grocery Store,892.172,40,FD,High
FDM20,10,Low Fat,0.07371873,Fruits and Vegetables,246.9144,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.1872,16,FD,Very High
FDV27,7.97,Regular,0.040071131,Meat,87.3514,OUT045,2002,Medium,Tier 2,Supermarket Type1,1062.6168,23,FD,Low
FDF09,6.215,Low Fat,0.012090074,Fruits and Vegetables,38.2848,OUT027,1985,Medium,Tier 3,Supermarket Type3,484.7024,40,FD,Low
FDY40,15.5,Regular,0.15028599,Frozen Foods,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,147.8076,40,FD,Low
FDY45,17.5,Low Fat,0.026015519,Snack Foods,255.8356,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543.356,40,FD,Very High
FDC46,17.7,LF,0.195068226,Snack Foods,185.4266,OUT010,1998,Medium,Tier 3,Grocery Store,184.4266,27,FD,High
FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.6664,21,FD,High
FDZ03,13.65,Regular,0.078946455,Dairy,186.024,OUT045,2002,Medium,Tier 2,Supermarket Type1,1118.544,23,FD,High
DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,OUT045,2002,Medium,Tier 2,Supermarket Type1,2302.3364,23,DR,High
NCI17,8.645,Low Fat,0.143422643,Health and Hygiene,95.841,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.361,28,NC,Low
FDJ58,15.6,Regular,0.105296072,Snack Foods,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,28,FD,High
FDL12,15.85,Regular,0.121531501,Baking Goods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,599.22,38,FD,Low
FDH35,18.25,Low Fat,0.075183515,Starchy Foods,164.7526,OUT045,2002,Medium,Tier 2,Supermarket Type1,4604.6728,23,FD,High
FDG02,7.855,Low Fat,0.011324862,Canned,189.6188,OUT017,2007,Medium,Tier 2,Supermarket Type1,2285.0256,18,FD,High
NCZ18,7.825,low fat,0.186357148,Household,254.3698,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.7356,26,NC,Very High
FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.352,28,FD,Medium
FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.0954,26,FD,High
FDN48,13.35,Low Fat,0.113720344,Baking Goods,89.9804,OUT019,1985,Small,Tier 1,Grocery Store,643.1628,40,FD,Low
FDL04,19,Low Fat,0.112556507,Frozen Foods,104.9622,OUT017,2007,Medium,Tier 2,Supermarket Type1,1587.933,18,FD,Medium
FDV25,5.905,Low Fat,0.0717791,Canned,222.5456,OUT045,2002,Medium,Tier 2,Supermarket Type1,5305.0944,23,FD,Very High
FDD58,7.76,Low Fat,0.059352241,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79,28,FD,Medium
FDN04,11.8,reg,0.014087057,Frozen Foods,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.4752,28,FD,High
FDV45,16.75,low fat,0.045230944,Snack Foods,187.9556,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89,16,FD,High
NCL18,18.85,Low Fat,0.293417759,Household,194.6136,OUT019,1985,Small,Tier 1,Grocery Store,583.2408,40,NC,High
FDR12,12.6,Regular,0.031382044,Baking Goods,171.3764,OUT027,1985,Medium,Tier 3,Supermarket Type3,3091.9752,40,FD,High
FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,2007,Medium,Tier 2,Supermarket Type1,2479.4392,18,FD,High
FDZ55,6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.464,21,FD,High
FDQ49,20.2,Regular,0.039057677,Breakfast,155.963,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.723,40,FD,High
FDN33,6.305,Regular,0.123115764,Snack Foods,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,661.8052,28,FD,Low
FDN27,20.85,Low Fat,0.039624006,Meat,117.2808,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.3504,26,FD,Medium
FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,OUT010,1998,Medium,Tier 3,Grocery Store,369.519,27,FD,Medium
DRG27,8.895,Low Fat,0.105274111,Dairy,39.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346,26,DR,Low
DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,OUT045,2002,Medium,Tier 2,Supermarket Type1,1381.535,23,DR,Low
FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,622.523,21,FD,Low
NCR17,9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.3412,21,NC,Medium
FDU04,7.93,Low Fat,0.009714595,Frozen Foods,120.0414,OUT019,1985,Small,Tier 1,Grocery Store,487.3656,40,FD,Medium
FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73,26,FD,Very High
FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112,21,FD,High
NCP18,12.15,Low Fat,0.028459761,Household,149.9708,OUT027,1985,Medium,Tier 3,Supermarket Type3,4363.6532,40,NC,Medium
FDB56,8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.2892,28,FD,High
FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,2002,Medium,Tier 2,Supermarket Type1,1805.6496,23,FD,High
